"","t","y"
"1",0,38.4411
"2",1.45,38.9502
"3",1.7,39.0523
"4",2.45,39.1545
"5",2.5,39.1545
"6",2.85,39.1545
"7",3.5,39.1545
"8",3.75,39.0523
"9",3.8,38.9502
"10",4,38.9502
"11",4.25,38.9502
"12",4.35,38.9502
"13",4.7,38.9502
"14",5.45,38.6445
"15",6,38.7463
"16",6.8,38.8482
"17",6.9,38.8482
"18",7.75,38.6445
"19",8.2,38.6445
"20",8.25,38.5428
"21",8.95,38.4411
"22",9.15,38.3396
"23",9.4,38.3396
"24",9.5,38.2381
"25",9.55,38.3396
"26",9.65,38.4411
"27",9.9,38.4411
"28",10.1,38.4411
"29",10.15,38.4411
"30",10.2,38.4411
"31",10.85,38.4411
"32",12.05,38.3396
"33",12.5,38.4411
"34",14.05,38.3396
"35",14.65,38.3396
"36",14.7,38.3396
"37",14.85,38.3396
"38",15.2,38.1367
"39",15.85,38.2381
"40",16.2,38.3396
"41",16.5,38.2381
"42",17.05,38.1367
"43",17.15,38.1367
"44",17.6,38.3396
"45",18.2,38.1367
"46",18.25,38.1367
"47",18.8,38.1367
"48",19.7,38.4411
"49",19.75,38.4411
"50",20.25,38.6445
"51",20.8,38.7463
"52",21.5,38.6445
"53",21.55,38.6445
"54",21.7,38.6445
"55",22.6,38.7463
"56",22.9,37.8331
"57",23,38.2381
"58",23.9,38.4411
"59",23.95,38.5428
"60",24.15,38.8482
"61",24.4,38.9502
"62",25.95,38.8482
"63",26.55,38.8482
"64",26.6,38.8482
"65",26.7,38.8482
"66",27.25,38.8482
"67",27.35,38.8482
"68",27.75,38.8482
"69",28.75,38.6445
"70",28.95,38.6445
"71",29.65,38.5428
"72",29.8,38.5428
"73",30.05,38.6445
"74",30.9,38.5428
"75",31.35,38.6445
"76",31.55,38.6445
"77",32.05,38.7463
"78",32.65,38.7463
"79",33.1,38.8482
"80",33.65,38.7463
"81",34.15,38.9502
"82",34.25,38.9502
"83",34.85,38.8482
"84",36.05,38.7463
"85",36.15,38.7463
"86",36.5,38.7463
"87",36.6,38.7463
"88",36.9,38.8482
"89",37.45,38.7463
"90",39.25,38.5428
"91",39.5,38.5428
"92",39.8,38.5428
"93",39.9,38.5428
"94",40.3,38.4411
"95",41.1,38.3396
"96",41.3,38.3396
"97",41.35,38.3396
"98",42.85,38.3396
"99",44.6,38.4411
"100",44.85,38.3396
"101",45.1,38.3396
"102",45.9,37.9343
"103",46.65,37.9343
"104",46.95,38.0355
"105",48.1,38.1367
"106",48.7,38.4411
"107",50.7,38.7463
"108",51.15,38.8482
"109",52.6,38.4411
"110",53.3,38.7463
"111",54,38.9502
"112",54.8,38.9502
"113",55,38.8482
"114",55.2,38.8482
"115",55.55,38.7463
"116",55.75,38.7463
"117",55.8,38.7463
"118",56.1,38.8482
"119",56.7,38.6445
"120",56.75,38.6445
"121",56.9,38.6445
"122",57.15,38.6445
"123",57.35,38.6445
"124",58.05,38.5428
"125",58.15,38.5428
"126",58.2,38.5428
"127",58.8,38.4411
"128",58.85,38.4411
"129",59.3,38.5428
"130",60.25,38.6445
"131",60.65,38.6445
"132",60.8,38.6445
"133",60.85,38.6445
"134",60.9,38.6445
"135",61.05,38.6445
"136",61.2,38.7463
"137",61.55,38.7463
"138",63.05,38.6445
"139",63.45,38.6445
"140",64.95,38.4411
"141",66.4,38.2381
"142",66.65,38.1367
"143",67.6,38.1367
"144",68.35,37.9343
"145",70.1,38.2381
"146",70.45,38.3396
"147",71.3,38.3396
"148",71.7,38.4411
"149",72,38.3396
"150",72.15,38.3396
"151",72.2,38.3396
"152",72.35,38.4411
"153",72.45,38.3396
"154",72.55,38.4411
"155",72.85,38.5428
"156",73.55,39.0523
"157",73.85,38.5428
"158",74,38.8482
"159",74.05,38.8482
"160",77.4,39.2567
"161",77.95,39.2567
"162",78.1,39.2567
"163",78.65,39.1545
"164",79.5,39.1545
"165",82.1,39.2567
"166",83.3,39.3591
"167",83.7,39.2567
"168",83.75,39.2567
"169",83.9,39.1545
"170",84.05,39.1545
"171",84.2,39.1545
"172",84.8,39.3591
"173",84.9,39.3591
"174",85.8,39.1545
"175",85.85,39.1545
"176",86.05,39.0523
"177",86.3,39.0523
"178",86.5,39.0523
"179",87.5,38.8482
"180",87.9,38.7463
"181",88.45,38.7463
"182",88.5,38.6445
"183",90,38.6445
"184",90.05,38.6445
"185",90.2,38.6445
"186",90.4,38.4411
"187",90.45,38.5428
"188",90.8,38.4411
"189",91.4,38.4411
"190",91.65,38.4411
"191",91.8,38.5428
"192",91.95,38.6445
"193",92.55,38.6445
"194",92.6,38.6445
"195",92.9,38.5428
"196",94.45,38.2381
"197",96.75,38.5428
"198",97.3,38.7463
"199",97.55,38.8482
"200",97.7,38.8482
"201",97.9,38.8482
"202",98,38.9502
"203",98.4,39.0523
"204",98.65,39.1545
"205",99,39.1545
"206",99.3,39.2567
"207",99.55,39.2567
"208",99.65,39.2567
"209",100.05,39.2567
"210",100.15,39.3591
"211",100.3,38.7463
"212",100.5,39.2567
"213",100.6,39.1545
"214",100.9,39.2567
"215",101.15,39.4615
"216",102,39.2567
"217",102.4,38.9502
"218",103.05,39.0523
"219",104,38.9502
"220",104.35,38.8482
"221",104.8,38.8482
"222",105.45,38.7463
"223",106.7,38.8482
"224",106.95,38.8482
"225",107.1,38.8482
"226",107.15,38.8482
"227",109,38.7463
"228",109.15,38.6445
"229",109.5,38.6445
"230",110.25,38.6445
"231",111.05,38.5428
"232",111.1,38.4411
"233",112.1,38.4411
"234",112.2,38.4411
"235",113.05,38.4411
"236",113.9,38.2381
"237",114.65,38.1367
"238",116.7,38.2381
"239",118.05,38.5428
"240",118.15,38.5428
"241",118.2,38.5428
"242",118.25,38.5428
"243",118.6,38.3396
"244",119.55,38.2381
"245",119.75,38.2381
"246",120.35,38.1367
"247",120.75,38.2381
"248",122.25,38.4411
"249",123.45,38.4411
"250",123.6,38.5428
"251",124.05,38.7463
"252",124.55,38.7463
"253",124.7,38.8482
"254",125.25,38.7463
"255",125.4,38.7463
"256",125.95,38.9502
"257",126.6,38.7463
"258",128.65,38.6445
"259",128.75,38.5428
"260",128.85,38.4411
"261",128.95,38.3396
"262",129.35,38.3396
